x1	y1
-2.500004	0.000947
-2.499312	-0.059042
-2.497571	-0.110296
-2.494745	-0.162043
-2.490806	-0.214258
-2.485717	-0.266914
-2.478663	-0.325927
-2.470110	-0.385410
-2.460019	-0.445322
-2.448344	-0.505614
-2.433220	-0.573945
-2.415983	-0.642626
-2.396591	-0.711583
-2.374978	-0.780728
-2.348980	-0.855716
-2.320274	-0.930714
-2.288831	-1.005611
-2.254577	-1.080266
-2.214779	-1.159607
-2.171703	-1.238368
-2.125346	-1.316400
-2.075648	-1.393497
-2.019056	-1.474218
-1.958696	-1.553475
-1.894621	-1.631081
-1.826809	-1.706751
-1.750397	-1.784928
-1.669898	-1.860404
-1.585456	-1.932965
-1.497126	-2.002240
-1.409276	-2.064935
-1.318177	-2.124203
-1.224012	-2.179879
-1.126923	-2.231670
-1.031436	-2.277321
-0.933641	-2.319099
-0.833746	-2.356894
-0.731941	-2.390504
-0.633365	-2.418453
-0.533454	-2.442414
-0.432414	-2.462335
-0.330451	-2.478103
-0.234541	-2.488989
-0.138190	-2.496178
-0.041578	-2.499668
0.055112	-2.499420
0.139895	-2.496099
0.224476	-2.489911
0.308735	-2.480877
0.392548	-2.469007
0.482264	-2.453050
0.571179	-2.433876
0.659152	-2.411548
0.746039	-2.386108
0.845572	-2.352656
0.943252	-2.315210
1.038895	-2.273923
1.132300	-2.228906
1.233471	-2.174513
1.331442	-2.115922
1.426036	-2.053401
1.517036	-1.987156
1.613607	-1.909502
1.705390	-1.827961
1.792269	-1.742934
1.874057	-1.654743
1.956219	-1.556648
2.032341	-1.455808
2.102439	-1.352708
2.166431	-1.247750
2.223665	-1.142529
2.275072	-1.036332
2.320778	-0.929555
2.360852	-0.822546
2.395886	-0.713997
2.425463	-0.605904
2.449792	-0.498583
2.469051	-0.392317
2.483948	-0.282961
2.493853	-0.175302
2.499041	-0.069576
2.499780	0.034008
2.495448	0.151193
2.485942	0.265018
2.471677	0.375287
2.453110	0.481857
2.433548	0.572622
2.411228	0.660370
2.386397	0.745063
2.359343	0.826695
2.331508	0.902279
2.302039	0.975044
2.271116	1.045005
2.238955	1.112210
2.204868	1.178393
2.169826	1.241761
2.133977	1.302361
2.097510	1.360281
2.059710	1.416915
2.021543	1.470880
1.983122	1.522243
1.944605	1.571116
1.905322	1.618580
1.866148	1.663617
1.827165	1.706301
1.788496	1.746759
1.749257	1.786101
1.710496	1.823276
1.672268	1.858362
1.634667	1.891491
1.598032	1.922584
1.562102	1.951908
1.526908	1.979530
1.492510	2.005568
1.460062	2.029342
1.428402	2.051764
1.397543	2.072887
1.367518	2.092802
1.338914	2.111237
1.311130	2.128612
1.284170	2.144971
1.258051	2.160382
1.233110	2.174730
1.208993	2.188237
1.185696	2.200937
1.163228	2.212884
1.141903	2.223975
1.121379	2.234400
1.101651	2.244184
1.082723	2.253370
