x1	y1
-0.493266	-4.083685
0.181100	-4.117276
0.848003	-4.041215
1.482310	-3.861885
2.063016	-3.593935
2.496820	-3.315633
2.876122	-3.001943
3.198715	-2.666065
3.465471	-2.320632
3.724665	-1.894742
3.913176	-1.490020
4.043372	-1.120461
4.128016	-0.795968
4.185345	-0.486429
4.215582	-0.249805
4.231528	-0.088729
4.241886	-0.004132
4.252889	-0.002066
4.262513	-0.105498
4.263235	-0.314026
4.239976	-0.625591
4.188317	-0.950604
4.091401	-1.334615
3.933584	-1.767941
3.699062	-2.235339
3.373783	-2.716260
2.948264	-3.184930
2.420871	-3.612782
1.799894	-3.969501
1.151964	-4.212859
0.459786	-4.352151
-0.250785	-4.377412
-0.951852	-4.288578
-1.543918	-4.120966
-2.091203	-3.881042
-2.581864	-3.582962
-3.008806	-3.243138
-3.379142	-2.867605
-3.680573	-2.483463
-3.918072	-2.106169
-4.098964	-1.748590
-4.261697	-1.337076
-4.366298	-0.988527
-4.430287	-0.712455
-4.467922	-0.514219
-4.486796	-0.411648
-4.499224	-0.363008
-4.506981	-0.368551
-4.509913	-0.428248
-4.505913	-0.541759
-4.490949	-0.708532
-4.459279	-0.927174
-4.403507	-1.195176
-4.294954	-1.568401
-4.124638	-1.994588
-3.877156	-2.458952
-3.538952	-2.940543
-3.104448	-3.409500
-2.568779	-3.840543
-1.938478	-4.204294
-1.230509	-4.473417
-0.650002	-4.601420
-0.052915	-4.654313
0.545514	-4.629893
1.130148	-4.530384
1.686710	-4.361874
2.203293	-4.133622
2.670941	-3.857063
3.084096	-3.545129
3.487121	-3.162059
3.816975	-2.769519
4.078637	-2.384523
4.279697	-2.021307
4.461254	-1.612105
4.581218	-1.271059
4.657087	-1.008710
4.702784	-0.831148
4.726712	-0.745658
4.738256	-0.733106
4.738047	-0.793664
4.723452	-0.926666
4.688579	-1.130381
4.624396	-1.401980
4.519722	-1.736087
4.361531	-2.124058
4.098798	-2.615318
3.729498	-3.135101
3.241083	-3.651946
2.630825	-4.127341
2.030063	-4.464262
1.362388	-4.720896
0.646914	-4.879858
-0.092127	-4.930917
-0.859112	-4.866388
-1.592808	-4.688538
-2.268243	-4.412403
-2.867377	-4.060428
-3.313336	-3.717182
-3.692638	-3.353868
-4.006875	-2.986267
-4.260500	-2.628405
-4.510151	-2.197998
-4.686211	-1.823814
-4.805428	-1.520110
-4.882302	-1.296033
-4.925065	-1.166830
-4.948872	-1.107943
-4.956283	-1.120268
-4.946918	-1.203655
-4.917425	-1.356849
-4.861470	-1.577651
-4.770508	-1.861864
-4.634024	-2.202823
-4.384811	-2.688246
-4.025192	-3.220064
-3.538556	-3.764968
-2.917984	-4.280366
-2.313423	-4.647143
-1.633828	-4.938329
-0.897368	-5.133840
-0.128330	-5.220465
